
channel: 1
value	time
0.2	100000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000
1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

1300	100
-650	200
0.2	20000

channel: 2

value	time
0.2	110000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000

200	100
-100	200
0.2	20000
