channel: 1

value	time
0.2	500000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

0.2	110000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

400	100
-200	200
0.2	10000

0.2	110000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
0.2	110000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
0.2	110000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
400	100
-200	200
0.2	10000
0.2	110000
0.2	1000000

channel: 2

value	time
0.2	500000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
0.2	110000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
0.2	110000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
0.2	110000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
0.2	110000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
30	100
-15	200
0.2	10000
0.2	110000
