
channel: 1

value	time
0.2	500000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200

0.2	9700
400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

channel: 2

value	time
0.2	500000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000

400	100
-200	200

0.2	9700
400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

400	100
-200	200
0.2	9700

0.2	100000
