Date,Cell,Rheobase Sweep,Genotype,Mouse Age (weeks),Sex,Experiment Notes,Inclusion,Single Pathway Plateau Inclusion,Stimulation Pathways,ESPS Stim Time File Name,Plateau Sweeps,Theta Burst Stim Time File Name,Drugs,Voltage Change,Vm rest/start (mV),Access Resistance (Bridge Balance),Access Resistance (From Whole Cell V-Clamp),Changed Holding Current,Holding Voltage,Slice Solution,Slice Solution Osmolarity,Recovery/Storage Solution,Recording Solution,Recording/Recording Osmolarity,Slice Orientation,Brain Region,Slice Thickness,Recording Temp. (degrees Celcius),Formatted Date,Cell_ID
1042024,c1,12,WT,7,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-63,17.5,,,-65,NMDG,311,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,301,sagittal,Dorsal CA1,250,35,20240104,20240104_c1
1052024,c1,7,WT,7,Male ,Coarse-FI; LTP attempt 3 stim electrodes- 50 Hz Plateau Stim,Yes: [Coarse-FI],,,,,,10_M Gabazine for LTP,,-65,17.5,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,303,sagittal,Dorsal CA1,250,35,20240105,20240105_c1
1102024,c1,5,WT,8,Male ,Coarse-FI: LTP attempt 3 stim electrodes - 50Hz Plateau Stim,Yes: [Coarse-FI],,,,,,10_M Gabazine for LTP,,-63,17.5,,,-65,NMDG,309,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,303,sagittal,Dorsal CA1,250,35,20240110,20240110_c1
1102024,c2,3,WT,8,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-63,17,,,-65,NMDG,309,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,303,sagittal,Dorsal CA1,250,35,20240110,20240110_c2
1172024,c1,4,WT,9,Female,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-66,14.5,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,298,sagittal,Dorsal CA1,250,35,20240117,20240117_c1
1172024,c2,4,WT,9,Female,Coarse-FI; LTP attempt 3 stim electrodes - 50Hz Plateau Stim,Yes: [Coarse-FI],,,,,,10_M Gabazine for LTP,,-65,14.4,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,298,sagittal,Dorsal CA1,250,35,20240117,20240117_c2
1172024,c3,4,WT,9,Female,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-60,14.3,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,298,sagittal,Dorsal CA1,250,35,20240117,20240117_c3
1192024,c2,31,GNB1,7,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-64,14.6,,,-65,NMDG,309,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,301,sagittal,Dorsal CA1,250,35,20240119,20240119_c2
1232024,c1,14,GNB1,10,Male ,Course-FI; Plateau; No Holding Current - Can use Vm Rest,Yes: [Coarse-FI],,,,,,10_M Gabazine washed in for Plateau,,-68,15.5,,,-65,NMDG,309,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,305,sagittal,Dorsal CA1,250,35,20240123,20240123_c1
1252024,c2,13,WT,10,Female,Coarse-FI; No Holding Current - Can use Vm Rest,Yes: [Coarse-FI],,,,,,,,-64,14.3,,,-65,NMDG,311,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240125,20240125_c2
1252024,c4,4,WT,10,Female,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-63,12.9,,,-65,NMDG,311,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240125,20240125_c4
1252024,c5,4,WT,10,Female,Coarse-FI -; Perforant E/I Up to 25 Gabazine - Schaffer not plugged in ,"Yes: [Coarse-FI, E/I]",,"{channel_1: perforant, channel_2:}",ISI_times_dict_older,,,,,-70,14.3,,,-65,NMDG,311,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240125,20240125_c5
1292024,c1,4,GNB1,10,Female,Coarse-FI; Full E/I + plateaus,"Yes: [Coarse-FI, E/I, plateau]",No,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_older,{Gabazine: sweep_94},Theta_Burst_MCII_old,10_M Gabazine washed in for E/I + plateaus,,-68,14.5,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240129,20240129_c1
1292024,c2,14,GNB1,10,Female,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-63,15.3,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240129,20240129_c2
1292024,c3,3,GNB1,10,Female,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-50,15.6,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,304,sagittal,Dorsal CA1,250,35,20240129,20240129_c3
1302024,c1,5,GNB1,10,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,,,-67,12,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,299,sagittal,Dorsal CA1,250,35,20240130,20240130_c1
1302024,c3,6,GNB1,10,Male,Coarse-FI; Full E/I + plateaus,"Yes: [Coarse-FI, E/I, plateau]",No,"{channel_1: perforant, channel_2: schaffer}",ISI_times_dict_older,{Gabazine: sweep_83},Theta_Burst_MCII_old,10_M Gabazine washed in for E/I + plateaus,,-70,12,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,299,sagittal,Dorsal CA1,250,35,20240130,20240130_c3
1302024,c4,6,GNB1,10,Male,Coarse-FI,Yes: [Coarse-FI],,,,,,10_M Gabazine washed in for E/I + plateaus ,,-69,13.3,,,-65,NMDG,310,ACSF - 4mM Ca; 1mM Mg,ACSF - 2mM Ca; 1mM Mg,299,sagittal,Dorsal CA1,250,35,20240130,20240130_c4
